number,name,description
ESS 215:,Approaching Nepal: Coupled Human-Natural Systems of the Solokhumbu (ESS 115),"This class designed to prepare students participating in the 2020 BOSP Nepal Seminar. Through readings, lectures, and class discussions, students will acquire a working knowledge of coupled human-natural system theory and examine case studies of CHNS analysis in the region. We will also provide content on the history of Nepal and the Sherpa people, Buddhist and Hindu thoughts on nature and resources, agricultural systems across Himalayan ecotones, and geology, glaciology, water, and energy issues relevant to the course itinerary. The class will meet weekly through the Spring quarter. We may switch the time to accommodate the schedules of all enrolled students. The class is mandatory for students participating in BOSP Nepal 2020."
ESS 264:,"Poverty, Infrastructure and Climate (CEE 265I)","Lack of access to physical infrastructure such as roads, water supply and electricity is a key element of how 'poverty' is often defined. At the same time, the causal pathways that link infrastructure and economic development are not well understood, and are likely being re-shaped by a changing climate. Students in this course will contribute to a new initiative on poverty, infrastructure and climate change by (1) reviewing and synthesizing literature from relevant scholarly communities, (2) co-creating a conceptual causal model of the ways in which infrastructure (particularly roads and water assets) contributes to poverty alleviation, and (3) contributing to the design of applied research effort on these topics in sub-Saharan Africa. Students who opt for the 3-unit enrollment will have an additional supervised project that could take the form of a review paper, research proposal, or analysis of secondary data. There are no formal pre-requisites for the class; students from all schools and departments are welcome. Enrollment requires permission of the instructors. Interested students are invited to submit an application at https://tiny.cc/EPIC-Stanford."
ESS 265:,Advanced Geographic Information Systems (ESS 165),"Building on the Fundamentals of Geographic Information Systems course, this class delves deeper into geospatial analysis and mapping techniques. The class is heavily project-based and students are encouraged to bring their own research questions. Topics include topographic analysis, interpolation, spatial statistics, network analysis, and scripting using Python and Acrpy. All students are required to attend a weekly lab. ESS 164 or equivalent is a prerequisite."
ETHICSOC 20:,Introduction to Moral Philosophy (PHIL 2),"What should I do with my life? What kind of person should I be? How should we treat others? What makes actions right or wrong? What is good and what is bad? What should we value? How should we organize society? Is there any reason to be moral? Is morality relative or subjective? How, if at all, can such questions be answered? Intensive introduction to theories and techniques in contemporary moral philosophy."
ETHICSOC 36X:,"Dangerous Ideas (ARTHIST 36, COMPLIT 36A, EALC 36, ENGLISH 71, FRENCH 36, HISTORY 3D, MUSIC 36H, PHIL 36, POLISCI 70, RELIGST 36X, SLAVIC 36, TAPS 36)","Ideas matter. Concepts such as equality, tradition, and Hell have inspired social movements, shaped political systems, and dramatically influenced the lives of individuals. Others, like race, gender, and technology play an important role in contemporary debates in the United States. All of these ideas are contested, and they have a real power to change lives, for better and for worse. In this one-unit class we will examine these ""dangerous"" ideas. Each week, a faculty member from a different department in the humanities and arts will explore a concept that has shaped human experience across time and space."
ETHICSOC 134R:,The Ethics of Elections (POLISCI 132A),"Do you have a duty to vote? Should immigrants be allowed to vote? Should we make voting mandatory? How (if at all) should we regulate campaign finance? Should we even have elections at all? In this course, we will explore these and other ethical questions related to electoral participation and the design of electoral institutions. We will evaluate arguments from political philosophers, political scientists, and politicians to better understand how electoral systems promote important democratic values and how this affects citizens' and political leaders' ethical obligations. We will focus, in particular, on issues in electoral design that have been relevant in recent US elections (e.g. gerrymandering), though many of the ethical issues we will discuss in this course will be relevant in any electoral democracy."
ETHICSOC 151:,"The First Amendment: Freedom of Speech and Press (COMM 151, COMM 251, POLISCI 125P)","(Graduate students enroll in 251. COMM 151 is offered for 5 units, COMM 251 is offered for 4 units.) The First Amendment: Freedom of Speech and Press ( Law 7084): Introduction to the constitutional protections for freedom of speech, press, and expressive association. All the major Supreme Court cases dealing with issues such as incitement, libel, hate speech, obscenity, commercial speech, and campaign finance. There are no prerequisites, but a basic understanding of American government would be useful. This course is crosslisted in the university and undergraduates are eligible to take it. Elements used in grading: Law students will be evaluated based on class participation and a final exam. Non-law students will be evaluated on class participation, a midterm and final exam, and nonlaw students will participate in a moot court on a hypothetical case. Non-law students will also have an additional one hour discussion section each week led by a teaching assistant. Cross-listed with Communication ( COMM 151, COMM 251) and Political Science ( POLISCI 125P)."
ETHICSOC 172C:,The Ethics of Care (PHIL 172C),"Since the 1970s, a number of feminists, socialists, and virtue theorists have directed their attention to the importance of care in practical philosophy. In this class, we will focus on the ambition to employ the notion of care in systematic political ethics. We will address the relationship between care and integrity, care and community, care and justice, and the role of care in thinking about the ethics of economics. Students will be evaluated on the basis of three essays. There will be no final exam. All readings will be available online; no books required."
ETHICSOC 174B:,"Universal Basic Income: the philosophy behind the proposal (ETHICSOC 274B, PHIL 174B, PHIL 274B, POLISCI 134E, POLISCI 338)","Universal basic income (or UBI) is a regular cash allowance given to all members of a community without means test, regardless of personal desert, and with no strings attached. Once a utopian proposal, the policy is now discussed and piloted throughout the world. The growth of income and wealth inequalities, the precariousness of labor, and the persistence of abject poverty have all been important drivers of renewed interest in UBI in the United States. But it is without a doubt the fear that automation may displace workers from the labor market at unprecedented rates that explains the revival of the policy in recent years, including by many in or around Silicon Valley. Among the various objections to the proposal, one concerns its moral adequacy: Isn't it fundamentally unjust to give cash to all indiscriminately rather than to those who need it and deserve it? Over the years, a variety of scholars have defended the policy on moral grounds, arguing that UBI is a tool of equality, liber more »"
ETHICSOC 175X:,"Philosophy of Public Policy (PHIL 175B, PHIL 275B, POLISCI 135E, POLISCI 235E, PUBLPOL 177)","From healthcare to voting reforms, social protection and educational policies, public policies are underpinned by moral values. When we debate those policies, we typically appeal to values like justice, fairness, equality, freedom, privacy, and safety. A proper understanding of those values, what they mean, how they may conflict, and how they can be weighed against each other is essential to developing a competent and critical eye on our complex political world. We will ask questions such as: Is compulsory voting justified? Should children have the right to vote? Is affirmative action just? What is wrong with racial profiling? What are the duties of citizens of affluent countries towards migrants? Do we have a right to privacy? Is giving cash to all unconditionally fair? This class will introduce students to a number of methods and frameworks coming out of ethics and political philosophy and will give students a lot of time to practice ethically informed debates on public policies. At the end of this class, students should have the skills to critically examine a wide range of diverse policy proposals from the perspective of ethics, moral and political philosophy. There are no prerequisites. Undergraduates and graduates from all departments are welcome to attend."
ETHICSOC 182M:,"Markets, Ethics, and Society","Business activity has been an inalienable part of human life; as a result, there is always a pressing demand to address the ethical issues that arise in the business context and consider the ethical implications of their impact on people, society, and the world. This course introduces students to philosophical inquiry into ethical issues surrounding business and offers an opportunity to combine ethical theory and practice by engaging with essential and timely questions. Why is ethics important for business? Should corporations mainly be responsible for the interests of shareholders, or should they also take other factors into account? How should we understand the conflict of interests between employees and managers? What does the value of diversity imply in hiring and corporate culture? What marks the difference between ethical and unethical advertisements? What are some ethical concerns regarding emerging technologies and business models, such as attention economy, sharing economy, an more »"
ETHICSOC 274B:,"Universal Basic Income: the philosophy behind the proposal (ETHICSOC 174B, PHIL 174B, PHIL 274B, POLISCI 134E, POLISCI 338)","Universal basic income (or UBI) is a regular cash allowance given to all members of a community without means test, regardless of personal desert, and with no strings attached. Once a utopian proposal, the policy is now discussed and piloted throughout the world. The growth of income and wealth inequalities, the precariousness of labor, and the persistence of abject poverty have all been important drivers of renewed interest in UBI in the United States. But it is without a doubt the fear that automation may displace workers from the labor market at unprecedented rates that explains the revival of the policy in recent years, including by many in or around Silicon Valley. Among the various objections to the proposal, one concerns its moral adequacy: Isn't it fundamentally unjust to give cash to all indiscriminately rather than to those who need it and deserve it? Over the years, a variety of scholars have defended the policy on moral grounds, arguing that UBI is a tool of equality, liber more »"
ETHICSOC 280:,"Transitional Justice, Human Rights, and International Criminal Tribunals (HUMRTS 103, INTLPOL 280, INTNLREL 180A)","(Formerly IPS 280) Historical backdrop of the Nuremberg and Tokyo Tribunals. The creation and operation of the Yugoslav and Rwanda Tribunals (ICTY and ICTR). The development of hybrid tribunals in East Timor, Sierra Leone, and Cambodia, including evaluation of their success in addressing perceived shortcomings of the ICTY and ICTR. Examination of the role of the International Criminal Court and the extent to which it will succeed in supplanting all other ad hoc international justice mechanisms and fulfill its goals. Analysis focuses on the politics of creating such courts, their interaction with the states in which the conflicts took place, the process of establishing prosecutorial priorities, the body of law they have produced, and their effectiveness in addressing the needs of victims in post-conflict societies."
FAMMED 210:,The Healer's Art,"Please join us for this year's Stanford Healer's Art on Zoom, now in its 21st year. This unique five-session course provides a foundation for designing and living one's life with meaning and well-being as a physician and healer. The Healer's Art focuses on essential foundations of our humanity not explored elsewhere in the curriculum. It is relevant to all combinations of specialties and careers in medicine whether clinical, academic, research, community health, business, administration, or policy. Medical school students and select faculty participate in a discovery process that explores essential dimensions of meaning, service, healing, deep listening, presence, loss, grief, awe and mystery, commitment, prophylaxis against burnout, self-care, and other topics. No papers/exams. May be repeated for credit. Here are to links that provide an overview of The Healer's Art ( http://www.rishiprograms.org/healers-art/) and a course description ( http://www.rishiprograms.org/healers-art/the-healers-art-course-description/)"
FAMMED 245:,Women and Health Lecture Series,"Lecture series. Topics of interest to anyone concerned about women's health issues. A journey from sex and gender through health screening, health disparity, family planning, heart health, mental health, and even beyond women's health in considering trans and gender expansive people in sexual and reproductive health."
FAMMED 252:,"Medicine & Horsemanship: An Outdoor, Equine Assisted Learning Course for Doctor-Patient Relationship","Medicine and Horsemanship is a unique outdoor experience working with horses to develop interpersonal skills, leadership qualities, and self-care techniques. A challenge throughout a clinical career is to conduct relationships with patients and colleagues in a manner that is professional, perceptive, confident, and authentic. Horses mirror and magnify our intentions and behaviors. Working with horses requires sensitivity to nonverbal cues, discrimination in the quality and amount of physical contact, and an awareness of one's emotional state, all important skills for relating to patients. Horses give non-judgmental feedback about our personal communication styles and our ability to operate from a place of empathy and kindness. The course also teaches how to recognize subjectivity in judgment and how to overcome fear and immobility in the face of uncertainty. No riding is required and no previous horse experience is assumed. Limit 12 students."
FAMMED 301A:,Family Medicine Core Clerkship,"VISITING: Closed to visitors. TYPE OF CLERKSHIP: Required. DESCRIPTION: Teaches the management of diseases commonly encountered in the primary care setting. Emphasis is placed on patient-centered, efficient, equitable, cost-effective medical care of men, women and children of all ages in a variety of settings. Prevention, managed care, and cultural humility are emphasized. Didactic workshops are conducted at the School of Medicine, and clinic sessions are held at numerous community ambulatory sites on the Peninsula, in the South Bay, in the East Bay, in San Francisco, and electively in Humboldt County. PREREQUISITES: None. PERIODS AVAILABLE: 1-12, full time for 4 weeks, 10 students per period. CLERKSHIP DIRECTOR: Tracy A. Rydel, M.D. & Rika Bajra, M.D. CLERKSHIP COORDINATOR: Natalie Gonzalez, natg@stanford.edu. REPORTING INSTRUCTIONS: Where: To be sent by email. Contact coordinator 2 weeks prior; Time: 8:00AM. CALL CODE: 2 (Occasional weekend and/or evening activities). OTHER FACULTY: more »"
FAMMED 338E:,Elective Clerkship in Family Medicine,"VISITING: Closed to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: The objective of this 3 week clerkship is to provide clinical experience in the following areas: management of normal adult and pediatric patients; evaluation and treatment of common acute medical conditions in the ambulatory setting; diagnostic criteria and management of chronic medical conditions such as diabetes, heart disease, hypertension, and obesity; and the administration of routine health maintenance examinations in the clinical environment. Students will work with both Internal and Family Medicine physicians in the primary care department at the Kaiser Permanente Vallejo Medical Center. Students may also spend time in patient education classes as well as residency didactics. All students will complete an evidence based medicine project by the end of their rotation. Rotations are scheduled up to one year in advance on a first come, first serve basis. PREREQUISITES: 3rd and 4th year medical students only. P more »"
FAMMED 344E:,Family Medicine Elective Clerkship,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Elective. DESCRIPTION: Offers the student a flexible learning experience as part of a team of family physicians working closely with Stanford's Family Medicine Residency Program at O'Connor Hospital & Indian Health Center of Santa Clara Valley. The student will experience a variety of family medicine experiences, which may include individual and group patient care in the ambulatory care setting, supplemented by didactic conferences on family medicine topics. Special faculty interests include sports medicine, HIV, addiction medicine, women's health, maternity care, point-of-care ultrasound, procedures, palliative care, weight management, geriatrics, and quality improvement. Emphasis is given to providing continuity and comprehensive family-oriented care to diverse patients of all ages, in inner-city outpatient medical offices. Please note: Visiting students who wish to apply to any clerkship in the Division of Primary Care and Population He more »"
FAMMED 364E:,Subinternship in Family Medicine,"VISITING: Open to visitors. TYPE OF CLERKSHIP: Selective 2. DESCRIPTION: Offers the student ready for an advanced experience similar to an internship a learning experience with an assigned patient load as part of a team of family physicians and working closely with Stanford's Family Medicine Residency Program at O'Connor Hospital. With faculty guidance, the student develops an individually tailored mix of inpatient and ambulatory patient care responsibilities including supervised procedures and night call, supplemented by conferences and tutorials in family medicine topics. Special faculty interests include sports medicine, HIV, addiction medicine, women's health, maternity care, point-of-care ultrasound, procedures, palliative care, weight management, geriatrics, and quality improvement. Emphasis is given to providing continuity and comprehensive family-oriented care to diverse patients of all ages, in an inner-city community hospital setting and outpatient medical offices. Please not more »"
FEMGEN 5C:,"Human Trafficking: Historical, Legal, and Medical Perspectives (CSRE 5C, HISTORY 5C, INTNLREL 5C)","(Same as History 105C. 5C is 3 units; 105C is 5 units.) Interdisciplinary approach to understanding the extent and complexity of the global phenomenon of human trafficking, especially for forced prostitution, labor exploitation, and organ trade, focusing on human rights violations and remedies. Provides a historical context for the development and spread of human trafficking. Analyzes the current international and domestic legal and policy frameworks to combat trafficking and evaluates their practical implementation. Examines the medical, psychological, and public health issues involved. Uses problem-based learning. Required weekly 50-min. discussion section, time TBD. Students interested in service learning should consult with the instructor and will enroll in an additional course."
FEMGEN 5S:,"Comparative Partitions: Religion, Identity, and the Nation-State (HISTORY 5S)","This course looks at demands for representation made by religious minority communities, specifically by Indian Muslim and European Jewish intellectuals, in the twentieth century. We will explore what national belonging means from the perspective of minorities against the backdrop of global discussions of anticolonialism, national self determination, and equal representation. Through primary sources, namely political tracts and speeches, oral histories, literary sources, and historical maps, we question how authors from different backgrounds constructed religious communities as nations in need of states."
FEMGEN 6W:,"Community-Engaged Learning Workshop on Human Trafficking - Part I (HISTORY 6W, HUMRTS 6W)","Considers purpose, practice, and ethics of service learning. Provides training for students' work in community. Examines current scope of human trafficking in Bay Area, pressing concerns, capacity and obstacles to effectively address them. Students work with community partners dedicated to confronting human trafficking and problems it entails on a daily basis. Must currently be enrolled in or have previously taken History 5C/105C ( FemGen 5C/105C, HumBio 178H, IR 105C, CSRE 5C/105C). (Cardinal Course certified by the Haas Center)"
FEMGEN 7W:,"Community-Engaged Learning Workshop on Human Trafficking - Part II (HISTORY 7W, HUMRTS 7W)",Prerequisite: HISTORY6W ( FEMGEN 6W). Continuation of HISTORY 6W ( FEMGEN 6W). Students will continue working on their projects with their community partners. Several class meetings and small group consultations throughout the quarter. (Cardinal Course certified by the Haas Center)
FEMGEN 13N:,Women Making Music (MUSIC 14N),"Preference to freshmen. Women's musical activities across times and cultures; how ideas about gender influence the creation, performance, and perception of music."
FEMGEN 20Q:,"Making of the Modern Woman: Robots, Aliens, & the Feminine in Science Fiction","What does the genre of science fiction have to say about gender identity? How are women in science fiction represented by themselves and by others? Who are women? What is gender and how is it constructed and performed? What is the relationship between man and machine? Between woman and machine? How is gender represented through narratives of literal alien otherness? What does it mean to be a woman online or in gamer culture? Material will include feminist analysis of gender in popular science fiction literature and visual media from 19th through 21st centuries. Texts range from Mary Shelley's Frankenstein to Alex Garland¿s Ex Machina.nnThis course will be reading and writing intensive but should also offer opportunities for spirited discussion. We will be engaging with sensitive subjects such as race, class, gender, and sexuality. Assignments include weekly short essays, discussion leadership, individual presentations, and a final research paper."
FEMGEN 21S:,StoryCraft: On Relationships (TAPS 21S),"Do we need love? And if so, what does it look like? In this class, students will learn about relationships from the inside out: through an examination and telling of their lived experiences. We will explore various perspectives on intimacy and relationships that illuminate different aspects of our lives, and then dive into our own stories to discover the many facets of intimacy. Due to the personal nature of the topic, we will emphasize safety, trust, and confidentiality throughout. The class offers the structure and guidance to 1) mine your life for stories, 2) craft the structure and shape of your stories, and 3) perform with presence, authenticity, and connection. Please fill out this short application for enrollment: bit.ly/Fall2020StoryCraft"
FEMGEN 21T:,"StoryCraft: Sexuality, Intimacy & Relationships (TAPS 21T)","What are the roles of sexuality, intimacy, and relationships in my life? How do I tell a compelling story? In this class, students will learn about these topics from the inside out. We will explore various perspectives on sexuality, intimacy, and relationships and then dive into our own stories to discover the richness and vibrancy of this part of our lives. Due to the personal nature of the topic, we will emphasize safety, trust, and confidentiality throughout. The class offers the structure and guidance to 1) mine your life for stories, 2) craft the structure and shape of your stories, and 3) perform with presence, authenticity, and connection. Students will be selected from this class to tell their stories in Beyond Sex Ed during NSO 2022. Please fill out this short application for enrollment: bit.ly/Spring2022StoryCraft."
FEMGEN 24N:,Sappho: Erotic Poetess of Lesbos (CLASSICS 16N),"Preference to freshmen. Sappho's surviving fragments in English; traditions referring to or fantasizing about her disputed life. How her poetry and legend inspired women authors and male poets such as Swinburne, Baudelaire, and Pound. Paintings inspired by Sappho in ancient and modern times, and composers who put her poetry to music."
FEMGEN 25Q:,Queer Stories (ENGLISH 25Q),"Queer Stories is a creative writing class open to any and all students, regardless of how they define their gender or sexuality. The goals of the class are to read widely in the canon of twentieth and twenty-first century queer prose literature, and to write critical and creative work that engages with the styles, modes, and subjects of these writers. As we read and discuss texts, students will consider a variety of questions: How has queer romance, relationships, and sexuality been represented over the years, in both coded and explicit ways? How have writers grappled with representing our evolving sense of gender as a continuum rather than a binary? How have queer writers interrogated or understood the concept of family? How do queer writers handle the question of the ""universal"" reader to whom, arguably, they might be speaking? (In a 2012 interview with Lambda Literary, book critic Daniel Mendelsohn argues,contentiously, ""It is precisely the gay book's ability to be interesting to a more »"
FEMGEN 36N:,Gay Autobiography (HISTORY 36N),"Preference to freshmen. Gender, identity, and solidarity as represented in nine autobiographies: Isherwood, Ackerley, Duberman, Monette, Louganis, Barbin, Cammermeyer, Gingrich, and Lorde. To what degree do these writers view sexual orientation as a defining feature of their selves? Is there a difference between the way men and women view identity? What politics follow from these writers' experiences?"
FEMGEN 41Q:,Madwomen and Madmen: Gender and the History of Mental Illness in the U.S. (AMSTUD 41Q),"This seminar explores the ways that gender and historical context shaped the experience and treatment of mental illness in U.S. history. What is the relationship between historically constructed ideas of femininity and masculinity and madness? Why have women been the witches and hysterics of the past, while men experienced neurasthenia and schizoid conditions? Why have there historically been more women than men among the mentally ill? How has the emotional and psychological suffering of women differed from that of men, and how has it changed over time? Among the sources we use to explore these questions are memoirs and films such as The Three Faces of Eve and One Flew Over the Cuckoos Nest. By contrasting the changing ways women and men experienced mental illness and were treated in the past, this seminar will elucidate the historically embedded nature of medical ideas, diagnoses and treatments."
FEMGEN 44Q:,"Gendered Innovations in Science, Medicine, Engineering, and Environment (HISTORY 44Q)","Explores ""Gendered Innovations"" or how sex and gender analysis in research spark discovery and innovation. This course focuses on sex and gender, and considers factors intersecting with sex and gender, including age, race, ethnicity, socioeconomic status, educational background, disabilities, etc., where relevant. Section 1 focuses on the history of women in science. Section 2 looks at transforming research institutions. Section 3 explores ""Gendered Innovations."" Topics include historical background, basic concepts, social robots, sustainability, medicine & public health, facial recognition, inclusive crash test dummies, and more. Stanford University is engaged in a multi-year collaboration with the European Commission and the U.S. National Science Foundation project on Gendered Innovations in Science, Health & Medicine, Engineering, and Environment, and this class will contribute that project. This course fulfills the second level Writing and Rhetoric Requirement (WRITE 2) and emphasizes oral, multimedia presentation, and writing skills. Each student will develop a case study illustrating how sex, gender, and intersectional analysis can lead to innovation and enhance social equality."
FEMGEN 50Q:,"Life and Death of Words (CSRE 50Q, ENGLISH 50Q, NATIVEAM 50Q)","In this course, we explore the world of words: their creation, evolution, borrowing, change, and death. Words are the key to understanding the culture and ideas of a people, and by tracing the biographies of words we are able to discern how the world was, is, and might be perceived and described. We trace how words are formed, and how they change in pronunciation, spelling, meaning, and usage over time. How does a word get into the dictionary? What do words reveal about status, class, region, and race? How is the language of men and women critiqued differently within our society? How does slang evolve? How do languages become endangered or die, and what is lost when they do? We will visit the Facebook Content Strategy Team and learn more about the role words play in shaping our online experiences. Together, the class will collect Stanford language and redesign the digital dictionary of the future. Trigger Warning: Some of the subject matter of this course is sensitive and may cause offense. Please consider this prior to enrolling in the course."
FEMGEN 63N:,"The Feminist Critique: The History and Politics of Gender Equality (AMSTUD 63N, CSRE 63N, HISTORY 63N)","This course explores the long history of ideas about gender and equality. Each week we read, dissect, compare, and critique a set of primary historical documents (political and literary) from around the world, moving from the 15th century to the present. We tease out changing arguments about education, the body, sexuality, violence, labor, politics, and the very meaning of gender, and we place feminist critics within national and global political contexts."
FEMGEN 90M:,Queer Stories (ENGLISH 90M),"Like other 90 and 91-level courses, 90M will explore basic elements of fiction and nonfiction writing. Students will read a wide variety of stories and essays in order to develop a language for working through the themes, forms, and concerns of the queer prose canon. Students will complete and workshop a piece of writing that in some way draws upon the aesthetics or sensibilities of the work we have read, culled from exercises completed throughout the quarter. This final piece may be a short story, a personal essay, a chapter from a novel or memoir, or a piece that, in the spirit of queerness, blurs or interrogates standard demarcations of genre. The course is open to any and all students, regardless of how they define their gender or sexuality. NOTE: First priority to undergrads. Students must attend the first class meeting to retain their roster spot."
FEMGEN 93:,"The Chinese Empire from the Mongol Invasion to the Boxer Uprising (CHINA 93, HISTORY 93)","(Same as HISTORY 193. 93 is 3 units; 193 is 5 units.) A survey of Chinese history from the 11th century to the collapse of the imperial state in 1911. Topics include absolutism, gentry society, popular culture, gender and sexuality, steppe nomads, the Jesuits in China, peasant rebellion, ethnic conflict, opium, and the impact of Western imperialism."
FEMGEN 94Q:,The Future is Feminine (ENGLISH 94Q),"Gender is one of the great social issues of our time. What does it mean to be female or feminine? How has femininity been defined, performed, punished, or celebrated? Writers are some of our most serious and eloquent investigators of these questions, and in this class we'll read many of our greatest writers on the subject of femininity, as embodied by both men and women, children and adults, protagonists and antagonists. From Virginia Woolf to Ernest Hemingway, from Beloved to Gone Girl (and even ""RuPaul's Drag Race""), we'll ask how the feminine is rendered and contested. We'll do so in order to develop a history and a vocabulary of femininity so that we may, in this important time, write our own way in to the conversation. This is first and foremost a creative writing class, and our goals will be to consider in our own work the importance of the feminine across the entire spectrum of gender, sex, and identity. We will also study how we write about femininity, using other writers as mo more »"
FEMGEN 96C:,"Resisting Empire: Anti-colonial Nationalism, Popular Politics & Decolonization in Modern South Asia (FEMGEN 196C, HISTORY 96C, HISTORY 196C)","( HISTORY 96C is 3 units; 196C is 5 units.) How did subjects of British India respond to colonial rule? When and how did anti-colonial nationalism emerge in South Asia? How did leading thinkers of the region conceptualize the nature of colonialism and the methods of nationalist resistance? Did nationalism represent all social classes in British India? Did it also alienate and exclude? What tactics of resistance were developed in anti-colonial movements, especially by M. K. Gandhi? Why did independence arrive with the partition of British India into two nation-states - India and Pakistan? How did the colonial legacy shape the post-colonial nation-states of South Asia? In this this introductory lecture-based survey course on the history of modern South Asia, we will explore the answers to these questions. The course will span the period from the beginning of the nineteenth to the middle of the twentieth century, and cover the regions that constitute present day India, Pakistan, and Bangladesh. No prior knowledge of South Asia is necessary."
FEMGEN 101:,"Introduction to Feminist, Gender, and Sexuality Studies (AMSTUD 107, CSRE 108, TAPS 108)","Introduction to interdisciplinary approaches to gender, sexuality, queer, trans, and feminist studies. Topics include social justice and feminist organizing, art and activism, feminist histories, the emergence of gender and sexuality studies in the academy, intersectionality and interdependence, the embodiment and performance of difference, and relevant socio-economic and political formations such as work and the family. Students learn to think critically about race, gender, disability, and sexuality. Includes guest lectures from faculty across the university and weekly discussion sections."
FEMGEN 103:,"Feminist and Queer Theories and Methods Across the Disciplines (COMPLIT 202, FEMGEN 203)","(Graduate Students register for PHIL 279A or FEMGEN 203) This course is an opportunity to explore a variety of historic and current feminist and queer perspectives in the arts, humanities, and social science research. NOTE: This course must be taken for a letter grade and a minimum of 3 units to be eligible for WAYS credit. The 2 unit option is for graduate students only."
FEMGEN 103S:,"Indigenous Feminisms (CSRE 103S, NATIVEAM 103S)","Seminar examines Indigenous Feminisms and the impact of colonialism on gender roles & gender relations beginning with the 17th century to the present. Topics include demographic changes; social, political & economic transformations associated with biological & spiritual assaults; the dynamism & diversity of Indigenous societies. Sources include history, ethnography, biography, autobiography, the novel & film."
FEMGEN 104A:,Junior Seminar and Practicum,"Preference to and required of Feminist Studies majors; others require consent of instuctor. Feminist experiential learning projects related to critical studies in gender and sexuality. Identifying goals, grant proposal writing, and negotiating ethical issues in feminist praxis. Developing the relationship between potential projects and their academic focus in the major."
FEMGEN 104B:,Senior Seminar and Practicum,"Required for Feminist Studies majors. Non-majors enrolled with consent of instructor. Students develop oral reports on their practicum and its relationship to their academic work, submit a report draft and revised written analysis of the practicum, and discuss applications of feminist scholarship. May be repeated once for credit."
FEMGEN 105:,Honors Work,For honors students who are doing independent work with faculty advisors.
FEMGEN 105C:,"Human Trafficking: Historical, Legal, and Medical Perspectives (CSRE 105C, HISTORY 105C, HUMRTS 112, INTNLREL 105C)","(Same as HISTORY 5C. 105C is 5 units, 5C is 3 units.) Interdisciplinary approach to understanding the extent and complexity of the global phenomenon of human trafficking, especially for forced prostitution, labor exploitation, and organ trade, focusing on human rights violations and remedies. Provides a historical context for the development and spread of human trafficking. Analyzes the current international and domestic legal and policy frameworks to combat trafficking and evaluates their practical implementation. Examines the medical, psychological, and public health issues involved. Uses problem-based learning. Required weekly 50-min. discussion section, time TBD. Students interested in service learning should consult with the instructor and will enroll in an additional course."
FEMGEN 106Q:,Gender and Media,"From childhood, individuals are presented with texts and images about what it means to be female, what it means to be male, but rarely what it means to question that binary. These images and texts also present what it means to be in relationship with one another, and what it means to reject established gender roles. In this course, students will examine and research how lessons learned from popular culture impact the treatment and expectations of people individually as well as in relationship with each other. Specifically, we will analyze the ways in which news articles, movie clips, magazine advertisements, television commercials as well as other texts present gender identities as binary as well as gender roles of those binary structures. How are the roles and bodies of all genders presented as objects open to scrutiny, critique, exploitation, abuse, and awe? After examining rhetorical strategies and devices, we¿ll read excerpts from texts by social critics such as Susan Bordo who analyze culture and it¿s presentation of bodies. Through case studies of films and campaign ads, visits to spaces on campus that construct gender binaries, and field trips to off campus sites, we will explore how representations of gender challenge or reinforce messages in popular media."
FEMGEN 107M:,College Culture & Masculinity,"Students in this course will interrogate masculinity and its impacts on culture broadly, with a focus on college campuses. Some questions considered will include: How do structures and expectations of masculinity impact sexual assault and response to sexual assault? Where on campus do we see pressure to perform masculinity? What expectations do some campus communities, such as athletics and Greek life, have of their members to perform and maintain masculinity? How are male identifying individuals expected to behave in communities shaped by masculinity? What spaces are there for gender non-conforming folks in communities shaped by masculinity? How do structures of masculinity impact expectations of femininity and femme in these spaces and others?"
FEMGEN 108:,Internship in Feminist Studies,"Supervised field, community, or lab experience in law offices, medical research and labs, social service agencies, legislative and other public offices, or local and national organizations that address issues related to gender and/or sexuality. One unit represents approximately three hours work per week. Required paper. May be repeated for credit. Service Learning Course (certified by Haas Center). Feminist, Gender, and Sexuality Majors may not receive 108 credit for their required practicum, as they are to sign up for FEMGEN 104 A & B instead. Prerequisites: Course work in Feminist, Gender, and Sexuality Studies, written proposal and application form submitted for approval by program office, written consent of faculty sponsor. Course may be taken 3 times total, for a max of 15 units."
FEMGEN 109:,"Looking Back, Moving Forward: Raising Critical Awareness in Gender and Sports (FEMGEN 209)","In 1972, Title IX legislation opened up a vast range of opportunities for women in sports. Since then, women's sports have continued to grow yet the fight for recognition and equality persists. Simply put, men's sports are more popular than women's--so much so, in fact, that people often make the hierarchical distinction between ""sports"" and ""women's sports."" But what would it take to get more women's sports featured on ESPN or more female athletes on the cover of Sports Illustrated? And, given the well-documented corruption at the highest levels of men's sports, should such an ascent in popularity be the goal for women's sports? This course will map out and respond to the multifaceted issues that emerge when women enter the sports world. Throughout the quarter, we will explore the fight for gender equality in sports through historical, cultural, and rhetorical lenses. NOTE: Class will meet in Old Union, Room 302"
FEMGEN 113:,Transgender Studies (FEMGEN 213),"Transgender and gender-expansive identities are the subject of growing attention and (often sensationalist) interest in the media as well as in the healthcare field, yet there exists a dearth of legitimate academic courses, research and writing that reflect and explore gender identity and expression as a fluid spectrum rather than a fixed binary. This course will address transgender and gender expansive identities from historical, medical, literary, developmental and sociopolitical perspectives."
